,labels
0,"['103', {'cx': 275, 'cy': 98, 'r': 20}]"
1,"['1039', {'cx': 22, 'cy': 9, 'r': 33}, {'cx': 674, 'cy': 321, 'r': 26}]"
2,"['1054', {'cx': 3596, 'cy': 1624, 'r': 110}, {'cx': 3732, 'cy': 1933, 'r': 104}]"
3,"['1068', {'cx': 386, 'cy': 563, 'r': 30}]"
4,"['1146', {'cx': 122, 'cy': 132, 'r': 23}]"
5,"['1168', {'cx': 259, 'cy': 385, 'r': 31}, {'cx': 698, 'cy': 72, 'r': 23}]"
6,"['122', {'cx': 938, 'cy': 237, 'r': 57}]"
7,"['1231', {'cx': 2574, 'cy': 1952, 'r': 102}]"
8,"['1236', {'cx': 122, 'cy': 132, 'r': 23}]"
9,"['1240', {'cx': 531, 'cy': 18, 'r': 25}]"
10,"['1279', {'cx': 605, 'cy': 2775, 'r': 93}, {'cx': 2928, 'cy': 692, 'r': 102}]"
11,"['1297', {'cx': 467, 'cy': 504, 'r': 28}]"
12,"['1306', {'cx': 424, 'cy': 341, 'r': 38}]"
13,"['1326', {'cx': 206, 'cy': 336, 'r': 31}]"
14,"['1329', {'cx': 424, 'cy': 341, 'r': 38}]"
15,"['1350', {'cx': 458, 'cy': 113, 'r': 25}]"
16,"['1363', {'cx': 647, 'cy': 6, 'r': 18}]"
17,"['1370', {'cx': 309, 'cy': 276, 'r': 23}]"
18,"['1381', {'cx': 22, 'cy': 9, 'r': 33}, {'cx': 674, 'cy': 322, 'r': 26}]"
19,"['139', {'cx': 2431, 'cy': 950, 'r': 134}]"
20,"['1404', {'cx': 106, 'cy': 319, 'r': 27}]"
21,"['1418', {'cx': 2329, 'cy': 33, 'r': 111}]"
22,"['1422', {'cx': 97, 'cy': 560, 'r': 23}]"
23,"['1429', {'cx': 206, 'cy': 336, 'r': 30}]"
24,"['1465', {'cx': 737, 'cy': 502, 'r': 21}]"
25,"['1477', {'cx': 79, 'cy': 433, 'r': 31}, {'cx': 110, 'cy': 441, 'r': 24}]"
26,"['1480', {'cx': 259, 'cy': 385, 'r': 31}, {'cx': 698, 'cy': 72, 'r': 24}]"
27,"['1481', {'cx': 586, 'cy': 568, 'r': 18}, {'cx': 657, 'cy': 36, 'r': 37}, {'cx': 266, 'cy': 105, 'r': 25}]"
28,"['1490', {'cx': 566, 'cy': 30, 'r': 20}]"
29,"['1510', {'cx': 122, 'cy': 132, 'r': 22}]"
30,"['1511', {'cx': 3289, 'cy': 2844, 'r': 93}]"
31,"['1516', {'cx': 3020, 'cy': 1133, 'r': 105}, {'cx': 2717, 'cy': 1380, 'r': 109}]"
32,"['1527', {'cx': 467, 'cy': 504, 'r': 28}]"
33,"['1534', {'cx': 748, 'cy': 20, 'r': 37}]"
34,"['1544', {'cx': 3024, 'cy': 1328, 'r': 83}]"
35,"['1560', {'cx': 696, 'cy': 6, 'r': 22}]"
36,"['1590', {'cx': 459, 'cy': 133, 'r': 105}]"
37,"['1616', {'cx': 3593, 'cy': 2330, 'r': 117}, {'cx': 3210, 'cy': 2730, 'r': 91}]"
38,"['1631', {'cx': 499, 'cy': 366, 'r': 24}]"
39,"['1632', {'cx': 310, 'cy': 276, 'r': 24}]"
40,"['1647', {'cx': 122, 'cy': 132, 'r': 22}]"
41,"['1665', {'cx': 206, 'cy': 336, 'r': 31}]"
42,"['1696', {'cx': 49, 'cy': 255, 'r': 70}]"
43,"['1724', {'cx': 956, 'cy': 462, 'r': 19}]"
44,"['1734', {'cx': 46, 'cy': 238, 'r': 16}, {'cx': 524, 'cy': 212, 'r': 29}]"
45,"['1737', {'cx': 206, 'cy': 336, 'r': 31}]"
46,"['1782', {'cx': 877, 'cy': 106, 'r': 29}]"
47,"['1805', {'cx': 80, 'cy': 433, 'r': 32}, {'cx': 110, 'cy': 441, 'r': 24}]"
48,"['1807', {'cx': 682, 'cy': 540, 'r': 34}]"
49,"['1811', {'cx': 531, 'cy': 18, 'r': 25}]"
50,"['1821', {'cx': 46, 'cy': 238, 'r': 16}, {'cx': 524, 'cy': 212, 'r': 29}]"
51,"['1824', {'cx': 106, 'cy': 319, 'r': 27}]"
52,"['183', {'cx': 693, 'cy': 468, 'r': 29}, {'cx': 608, 'cy': 549, 'r': 20}]"
53,"['1831', {'cx': 566, 'cy': 30, 'r': 20}]"
54,"['1834', {'cx': 2618, 'cy': 537, 'r': 112}]"
55,"['1844', {'cx': 508, 'cy': 564, 'r': 19}]"
56,"['185', {'cx': 67, 'cy': 69, 'r': 26}, {'cx': 620, 'cy': 129, 'r': 27}]"
